code,lat,lon
AE,25.105943,55.180592
AE,25.133931,55.151772
AE,25.115648,55.163795
AE,25.114732,55.164715
AE,25.097185,55.18106
AE,25.092527,55.186098
AE,25.102801,55.162898
AE,25.0955,55.167252
AE,25.113535,55.139666
AE,25.111265,55.141366
AE,25.084243,55.15009
AE,25.08074,55.13897
AE,25.07641,55.140511
AE,25.077092,55.135592
AE,25.076871,55.133298
AE,25.075708,55.130471
AE,25.07181,55.12975
AE,25.060949,55.128946
AE,25.114172,55.138616
AE,25.05399,55.171172
AE,25.038868,55.165917
AE,25.0445,55.120305
AE,25.04449,55.120295
AE,25.126527,55.123195
AE,25.126962,55.119732
AE,25.04063,55.12131
AE,25.132344,55.118461
AE,25.03489,55.113279
AE,25.065267,55.214665
AE,25.023,55.143559
AE,25.031677,55.18999
AE,25.051549,55.214023
AE,25.07082,55.234026
AE,24.997867,55.175754
AE,25.046803,55.242369
AE,25.042891,55.240865
AE,25.046226,55.24268
AE,25.053416,55.254315
AE,24.475984,54.321883
AE,24.464157,54.328719
AE,24.467782,54.338382
AE,24.46878,54.339967
AE,24.466436,54.33966
AE,24.467584,54.341602
AE,24.478393,54.348226
AE,24.453045,54.311195
AE,24.470337,54.351749
AE,24.479704,54.353567
AE,24.487284,54.357749
AE,24.490072,54.363083
AE,24.477139,54.372518
AE,24.47024,54.37276
AE,24.47025,54.372777
AE,24.489096,54.37411
AE,24.477553,54.376484
AE,24.462847,54.385215
AE,24.495229,54.3834
AE,24.495868,54.383227
AE,24.49796,54.387872
AE,24.500899,54.390614
AE,24.50094,54.390603
AE,24.500926,54.390635
AE,24.50094,54.390646
AE,24.500955,54.390646
AE,24.445331,54.389461
AE,24.450186,54.392092
AE,24.4312,54.385902
AE,24.496196,54.407427
AE,24.436535,54.402578
AE,24.435384,54.412496
AE,24.42637,54.407987
AE,24.446145,54.438583
AE,24.431739,54.435553
AE,24.420273,54.436915
AE,24.42083,54.440671
AE,24.435274,54.455525
AE,24.42936,54.46311
AE,24.554563,54.452659
AE,24.413686,54.463396
AE,24.403721,54.485397
AE,24.408591,54.491289
AE,24.432581,54.566565
AE,24.396449,54.555667
AE,24.334429,54.524197
AE,24.543998,54.574401
AE,24.365661,54.564211
AE,24.393428,54.582349
AE,24.350423,54.569979
AE,24.488838,54.607892
AE,24.485658,54.607765
AE,24.489308,54.608989
AE,25.345018,55.39871
AE,25.330312,55.430095
AE,25.383157,55.404507
AE,25.389664,55.458399
AE,25.309971,55.489652
AE,25.236671,55.42206
AE,25.233864,55.43588
AE,25.441201,55.421213
AE,25.224555,55.424622
AE,25.295949,55.499244
AE,25.233631,55.47168
AE,25.413532,55.498456
AE,25.247454,55.589786
AE,25.124772,55.41056
AE,25.12683,55.3971
AE,25.134306,55.37829
AE,25.111384,55.392543
AE,25.111459,55.374001
AE,24.324871,54.613381
AE,25.681656,55.780582
AE,25.700741,55.93352
AE,25.748301,55.925063
AE,25.770997,55.938703
AE,25.785186,55.965559
AE,25.78521,55.965807
AE,25.784325,55.987856
AE,25.541452,55.541801
AE,25.521223,55.543619
OM,25.994194,56.248183
OM,25.994264,56.248228
OM,25.994264,56.248318
OM,25.985017,56.282847
AE,24.160592,55.807567
AE,24.207041,55.759096
AE,24.222205,55.781988
AE,24.183138,55.733621
